,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Proteobacteria,0.00043267304539559197,0.0142305412659947,0.00042687540112929944,0.00477257716680021,0.002940846183593568,0.00016715213231520003,0.0021992821800715196,0.11158802174167713,0.0006013576435538167,0.020022089787591783,0.004334550315071867,0.00438537135377513,0.0047926477603205085,0.01595202687927426,0.0004330265025278763,0.0023776623993784574,0.003879426857917097,0.012942260221232122,0.04170648556226295,0.00016177859612199731
Oceanicella,0.00016717302663742865,0.01241976291495276,3.518680857940776e-05,0.004537076349852088,0.0028811825647851543,2.405614730866556e-06,0.00038670880658975683,0.08304558771191121,5.7209549568591875e-05,0.2579372991242802,0.0016202239290553663,0.0014306356735336724,0.0015389113971111307,0.01399985253481889,4.9001590179298804e-05,0.0024160376081841916,0.0012707858712343227,0.010668306966600902,0.002717347143553698,1.8849412638451066e-05
Alphaproteobacteria,0.001091697729201552,0.013913856247805705,0.0020856733635344275,0.003565772285177495,0.0032593463060246975,0.0006822711881883404,0.002761305297422368,0.010508470817950961,0.0017335039899900133,0.0008661615233925823,0.005273149775401924,0.005595589640089768,0.005268415942063833,0.009997414101809158,0.00054118909045932,0.004121821080517689,0.004282797780066128,0.009082930840800084,0.011634882952890184,0.0007959229782431629
Terasakiellaceae,2.4428817282511556e-07,0.0037265543117828946,0.004083484428853451,0.010075701643504627,0.003416814369494584,9.388003224828533e-06,0.00014428732859377404,0.0007452258488444734,0.00013044309547435758,9.157148048579754e-06,0.0015209952059256873,0.0004461403634201538,0.0004401142211711178,0.0005460523783289309,0.0003688121318171868,0.0032802958602839156,0.00034345385554620573,0.007788349164283096,0.00013099111363652993,5.678386035986557e-05
LD29,2.2006592877191238e-07,0.004065349217362618,0.012973449075995569,0.010609771644233613,0.005209467316588956,6.083401237639527e-06,0.0002526358134313508,0.014794626692929833,0.00014604515364551184,0.000876600159292937,0.0024108422191334604,0.0009095257503519067,0.0014770493249769696,0.0022729775434083594,0.0004468375617901175,0.004667753215820608,0.0019009603786359463,0.007642619502342732,0.0012525222795061349,0.00016052893402065325
Methylacidiphilaceae,3.7218960607014474e-05,0.00542121710253085,0.007799176494714419,0.0120051945288126,0.005596995267811343,8.179866674091384e-06,0.00025584116781609954,0.004880958326977594,0.00010718052369402897,0.0004742155593653954,0.00253365254650487,0.0012874255802747302,0.001554831023774015,0.0017523482700953924,0.0001738719095531016,0.004825725093056025,0.0023266461405485493,0.007462978894248613,0.000340879838831192,3.242983985338565e-05
Flavobacteriaceae,5.854197525935829e-05,0.011239473739853003,0.008049567849192776,0.002782948137293902,0.0024566352312134594,0.0005907489062003895,0.004898447775952508,0.2765421136855844,0.0019448131569988205,0.08105251836059679,0.002795539661193138,0.0030716720667735703,0.002460629292168957,0.006248908201632886,0.010107010299654714,0.003921494799042416,0.0013977710088571244,0.007010260049356522,0.17600040003015405,0.0010272689187504824
Coraliomargarita,0.0001772887164140921,0.007312860706955611,0.0001181682515288961,0.006362089776918428,0.013041579515733823,1.279743299655856e-07,0.0010209615546173283,0.0031098009909928895,0.00012629162065273537,0.0009191188238100833,0.0035097641121404175,0.0035486261682183026,0.003121660885484106,0.009525457056666254,1.0081587516277686e-05,0.0024450886017274237,0.003621428273629543,0.0068888342715575,0.0002462346806242049,2.8201235333089787e-05
Erythrobacter,0.0006748607062513855,0.009527252966294272,0.0002541146700030707,0.004978112945986502,0.0071839688755188985,2.5349705747360072e-05,0.002759349409605269,0.0011140046781120464,0.0005814980070197877,0.00041554270508227883,0.0038221260907439934,0.005277140341144176,0.0032272128814935827,0.012840438308255776,0.00024577342256020885,0.0027193511439499605,0.002310830564804187,0.006882923795182532,0.0021033281325903547,0.00024178582713833466
Lentimonas,0.00046892162191820147,0.007795099009216119,0.0006478583494228972,0.006982575914980913,0.009907204079123743,6.917817749203292e-05,0.006488686162482259,0.0119575590916922,0.0010590520817425422,0.0012539846225765494,0.003210318560273726,0.0030850050665417426,0.003173365724801006,0.007714995527345648,0.00013173048603877676,0.0035084496617153946,0.0037304286531623,0.0066869061020014865,0.0012871701276913837,0.000424805651899174
Confluentimicrobium lipolyticum,0.00014429701692469295,0.007799261806620272,2.426299678563449e-05,0.001730575131316369,0.001246222706979041,7.284661014191758e-06,8.28771081047891e-05,0.0006205673351387056,2.916610919112373e-05,0.0007734288953161121,0.0008271125352254485,0.0008289075656012027,0.0009530102138987235,0.00701712224847533,1.34657649484965e-05,0.002191311924740588,0.0008563509373912579,0.006539059920393524,0.0009725539511538029,1.3192304913035977e-05
Rhodobacterales bacterium JY-7,0.00015615693629502322,0.007315024025217029,2.5599594038172873e-05,0.0011495689566452805,0.004450148473646088,2.9754309023613646e-06,0.00017117457151732732,0.0011874802603575015,5.152206367846472e-05,0.030269022326748253,0.001763584525763918,0.001520158424071545,0.0011175561910503904,0.00723633076643452,7.828633499913426e-06,0.0030138945874883666,0.0010662249471582298,0.006246435094794062,0.0006111144408729738,1.4549891818557683e-05
Clade I,0.0024081638030118693,0.006743434936808125,0.0013246534046021043,0.006201004906549896,0.010481144028708159,9.16125270828423e-05,0.004657720325197095,0.0006569275884628421,0.0007180028430210313,0.0035191783706872274,0.009759823721464831,0.009522860795438988,0.00812867412497973,0.007187363402948402,0.00047435887189912644,0.002992383956680515,0.01301242656583068,0.005965891671644876,0.0010974294293676374,0.0007597324589941664
Flavobacterium,6.606737587611474e-07,0.0048595493645271675,0.021165080144322647,0.0023965750105382406,0.001932439021842995,0.0004367063460529748,0.0016922107611546053,0.0009517643032381872,0.0008397206732797872,0.00476223775604025,0.0027988126628429944,0.0026313346053660853,0.0033074008653884365,0.011638041855613753,0.02609468014067773,0.003046548831294046,0.0037451485037540634,0.005745786934617277,0.001121890200429578,0.0008883010289959776
Parvibaculaceae,0.0014780149064215094,0.006106753168223818,4.0255220614325514e-05,0.0017430244654372772,0.0044135800224794014,7.469920370149128e-07,0.0002591461605692579,0.0010920430073456512,1.627408714200206e-05,0.004051957467069835,0.003990745234933209,0.0046537192188433486,0.004288231545080835,0.007297839387286809,6.49239655811239e-06,0.002510287147341911,0.007134427004258272,0.005631058643183941,0.000439400823105473,7.825715768615635e-05
Persicirhabdus,5.499729983256391e-05,0.0023514862388376552,0.0008602128707953723,0.0011872555119431148,0.0011474231365423454,0.0006000643679502876,0.00035245125571438716,0.0016628409807151478,0.0011211814603815117,5.627450879886975e-05,0.0009793970327445316,0.0007826399780649916,0.0010368148875351624,0.0057314594522641605,0.005245720503722596,0.003360445650738761,0.0006680435379817061,0.0056296932344620625,0.0006144836478491986,0.001785233839775988
Rubinisphaeraceae,0.0003244255682892649,0.007970979576928168,0.008906138376639535,0.0035932561505922778,0.006270328432458578,0.0001020854724481919,0.0014045615789164535,0.0055869587967086725,0.0013638875445042588,0.0009933967117373903,0.003008780384711492,0.0026019671275932027,0.0021782758804657163,0.005036022726602028,0.003156270615508104,0.0019597530715606956,0.001283925918378307,0.005394931567559475,0.0015183942515978623,0.00224690914457527
Clade IV,0.0002945026978809184,0.005777052260310985,5.123137493759079e-05,0.00215671122910834,0.005567044031500425,5.55935216514861e-06,0.00032787844756982667,0.001250821157491966,6.097898117001552e-05,0.00025772023532587393,0.004218409217432357,0.0041345892967896945,0.004221024978117837,0.0068826546339683424,9.999029097442097e-06,0.0019144525717905833,0.006058546972311103,0.00503612168296738,0.00035832709521962925,7.808600381441348e-05
Hyphomonas,0.00014953501371774743,0.0044346976602757816,0.005619239485479306,0.008470263906150688,0.008348326291090485,0.07477513768934382,0.007358262030446983,0.013651972655064912,0.005577179382349096,0.0017888306879920803,0.0028940477405509954,0.0025921244678037384,0.002442891584216831,0.004559208965651057,0.0013386475079836919,0.0044653929937360295,0.0009870467608915161,0.00500826210689025,0.006595648918142768,0.0007514577241991959
Flavobacterium ceti,3.097879558329838e-06,0.00022756569403059804,7.593876178424864e-05,0.0017764059686905685,0.005052817087211504,0.0,1.3893445441031285e-05,6.5219342432876e-07,2.2419501815652686e-06,2.0381772082271634e-06,0.0009709765516326579,0.0009510460532032382,0.000675555013383357,0.0003935681608812998,0.00028546358239136567,0.0010394824451671776,6.859313089353603e-05,0.004997574970876741,0.0003043076151763268,0.0008986342104399174
Burkholderiaceae,0.0002743189152167414,0.0034718214914305954,0.023313746221968412,0.0026591063855668853,0.0026596100855247437,0.0012058112046165169,0.002858673520962002,0.0019445933435584897,0.002393465614346965,0.0015784032435069361,0.005437743600876793,0.004500930434347449,0.005174360426119151,0.012724452174292102,0.03632376747444766,0.004943948801867626,0.0036971011143871464,0.004862980843849636,0.014425897554795163,0.0009050889336803172
Thalassobaculum,3.298240814345835e-08,0.002923584053669574,0.002464227795879263,0.009101284996084178,0.004742482303091816,0.0005698745031840226,0.00035094697215078786,0.0001541646447875015,0.0003113854561056904,0.004897693578902683,0.0010749511209943916,0.0004326666964575379,0.0005192594418238169,0.0005332013897229939,4.2102735214804515e-05,0.003244560004341202,0.0004143538586786787,0.004834196303321316,0.0006232498002557892,5.622621259495482e-05
Tistrella,6.576857930899683e-07,0.002533074155241395,0.0020361255770558065,0.0072826138390537564,0.0018144956072280972,1.2616130530638133e-05,0.00016634470552852313,5.968419412356324e-06,7.352154932868098e-05,8.751135629002117e-07,0.0005443717589624659,0.0003648243554508893,0.0004814517645898843,0.00020886102258685187,1.657844872667342e-05,0.0019104578836372274,0.00041495625259902277,0.004661506582472522,1.0426194545585814e-05,1.1873633384329855e-06
OM75 clade,0.005747995843109806,0.005683599896913747,0.00015748396082689603,0.0011624351993979518,0.0015710029381368251,5.728481946228602e-07,0.00021762219962543687,0.0007152473409768321,2.1971869071327727e-05,0.0001531887831015623,0.0035065049584056146,0.0034289007032879803,0.00374913935754132,0.005180711527654638,2.9820696947910268e-05,0.0023614700184049478,0.00528234795371089,0.0045588746205806,0.003994565735302449,0.00034189140873476623
Roseobacter clade NAC11-7 lineage,4.183042506419048e-05,0.005630289291706123,8.767500501271517e-06,0.0018227648582749055,0.001624432161727819,5.646837100437474e-10,3.827253146154793e-05,0.008772202547191903,2.410509628378969e-05,0.019773815699937178,0.0011843530701704098,0.0009270747958588093,0.0011472468713113041,0.004570272134988399,0.0006168549654930414,0.00104011323857038,0.0009052949455458635,0.0044106193714854875,0.0005746895400289958,3.8315616387937155e-06
Rivularia PCC-7116,6.456538702899378e-10,0.0025711384323275502,8.206119299888703e-06,0.0014177004276883021,0.005102405250211475,0.0,8.811466709782096e-05,4.7983453153245555e-06,3.214275735865859e-05,2.922774158193401e-06,0.0,0.0065375354678042005,0.004238573553560951,0.0027863000284229274,2.1195395215789135e-06,0.0,1.4940295959612743e-05,0.004281145127005723,0.0001036905048795378,2.041927388222684e-06
Cyanobium PCC-6307,3.278402532435075e-05,0.0019308243210077098,0.010864901043769299,0.006116602742845884,0.0016029433274230005,9.119959539858933e-06,0.0007738291966398735,0.0040306980705849555,0.00047678402391589,0.000179567986548066,0.004804602420316926,0.0031640272207145623,0.006309111400873984,0.005140146935974668,0.007501991700953772,0.0022567205095807884,0.008395354351827734,0.004244853459601689,0.019945877085119662,0.000405639667617697
Roseivirga,2.253416838456443e-08,0.0018970330018045298,0.010965327708648335,0.005355912595201607,0.0017112797019667397,9.362570477109227e-07,0.0001817590682925052,0.003234191251738433,0.00020432173939055647,5.382253615662333e-06,0.0014261311842839865,0.0006695331838688391,0.0008586266448055034,0.001631318943598652,8.134960220161707e-05,0.0009949824829059858,0.0006694585558882928,0.004218525919895995,0.0006980261013518935,0.00016983087950633703
AEGEAN-169 marine group,0.00020598577619687059,0.00473619154976395,0.0004638073164322853,0.003696253114929533,0.005034623768167284,6.246103494363158e-05,0.0014690224348550545,0.0012188016335652216,0.00023245813357412374,0.0076976138579659585,0.007762989836429664,0.008068246885852441,0.00841981250946531,0.004982575661251254,6.662939477022908e-05,0.0027702570065275198,0.013236769327298245,0.004075313806185915,0.0004810794503749594,0.000448693010517948
Halovulum,0.0001590512472701004,0.005360801527529501,1.5979734331090673e-05,0.0012557627683258714,0.0016538777013646669,2.9909616438097057e-07,0.0001562644011109598,0.0008402706691731998,4.213626837055779e-05,0.00017785391195167144,0.0014843811862488886,0.0012138309751836877,0.0010585558558651484,0.004961872143261592,1.8343683088181712e-05,0.0015593988012825512,0.0007347166061776689,0.004005864933223933,0.00042468635831971463,6.581738605875682e-06
SAR116 clade,0.0001228668718269696,0.005883341110050298,0.0007183674552010829,0.004350875201452266,0.007810281397933421,2.0460631608562944e-05,0.004115012859321984,0.0007557925173576682,0.0005309571505235898,0.0004992497934427466,0.009254920762547218,0.008673782519033156,0.006999929347204761,0.004600905026053379,0.0004007094624161502,0.0025170212696498857,0.010603528281915246,0.003927080543496811,0.0006645523585462127,0.0007662526321677326
Methylotenera,2.5806905839842853e-06,0.0025861281664282822,0.0028947700958662187,0.0016169029054151312,0.0010422775657029446,3.9455090508188564e-05,0.0011753820858584213,9.95411650273294e-05,0.00062000356385258,7.330761233097657e-05,0.0017992344979010102,0.002151033431082797,0.002219747013312754,0.00420291748551494,0.0005289919405956702,0.0016156919076255182,0.0012649529817391977,0.0039184115472490205,0.000426015838489265,0.0006542760195043472
MB11C04 marine group,0.0008864538566969399,0.004061928986133497,0.0001566484108532324,0.0021421293324181603,0.006631724690922504,8.945672485824961e-07,0.00047113772798839835,0.0002984186166111877,4.294881699320136e-05,0.00025649722669499926,0.008109630613165539,0.00941663726313312,0.00830848963839697,0.004180373462034221,1.9595822595220518e-05,0.0016453371794756407,0.013861620948496665,0.0039004831867382604,0.000251747538154208,0.0003548864894061839
Thalassospira,0.0004691730437312427,0.00275384100540508,0.0002268089937120768,0.003671885266300675,0.00181834526314944,0.08845283195365881,0.016142907728813927,0.006670843058656411,0.017609036232663737,0.0002305554421227757,0.001984311688096308,0.002064409790036758,0.0018659986214580625,0.0041654922884919,0.0003443085124305047,0.009000920238559536,0.0010206609515166188,0.0038792514883845813,0.0037071887293491446,0.0004084614392252833
Ralstonia,6.845951858366846e-05,0.006830886037088271,0.0002670190821388294,0.0033845683104826783,0.001329586311632711,9.58528271001867e-06,0.0012089387246071893,0.0014414491720973666,8.023947891019105e-05,0.0028883167755942582,0.0016912771719968472,0.0013926332432885752,0.0015893598317805618,0.00442137306227225,4.548828442081471e-05,0.001225211792635044,0.0012158624001713544,0.0038156755409951915,0.0016472321869573018,5.8882857668355495e-05
Saprospiraceae,0.00045947884711042595,0.004418339052983114,0.0005842358309951661,0.0025421645624900888,0.0016326413531855878,0.0007747505618131155,0.0032029374649354585,0.0008155639522681932,0.0015218039322481298,0.00022417394262950883,0.004007875658456584,0.005251235558007341,0.002701105293727714,0.004278538294122347,0.00011734001517198832,0.0018344306042648573,0.001949130288806696,0.0038039984916832218,0.0010066528841485693,0.0009205156160733968
