Score,ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Species name,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Single scores,,,,,,,,,,0.9532019704433498,0.9231338494031086,0.9100324071658179,0.9975369458128078,0.9827586206896551,0.9901477832512315,0.9729064039408867,0.8891625615763546,0.729064039408867,0.7266009852216748,0.8349753694581281,0.4882792332223633,0.8923895870282242,0.9655172413793104,0.8408972047494011,0.9560889174703059,0.9926108374384236,0.9137931034482759,0.9852216748768473,0.958128078817734
0.4694688860234312,eebac1ea6be5626296f86b16cde31b66,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,,Erythrobacter,0.01143503488674196,0.19691619192919785,0.17182426443272728,0.00018320976916844585,5.0985822547407554e-05,8.265195377126735e-05,0.004099846394925789,0.0009824156138162363,0.0022207225423778432,0.0015670282196779274,0.0023837449451582313,0.0001311985603960871,0.0013034982496987176,0.0029870656437810117,0.04453973816110924,1.939168713360281e-05,5.5507772858725974e-05,0.0007748067870880399,0.014491380979874758,0.013420201671380723
0.309258841286812,8c7ceee5ea67170af32563717c6831f4,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,,Clade I,0.007638526226195741,0.08575395811719973,0.16180859501259945,3.766198511216475e-05,2.1096469439288717e-05,3.9657118970719754e-05,0.004289121791570028,0.005443978630196306,0.003051501810949874,0.00288608017925824,0.00342480715936973,0.00011349801854248642,5.510955631797884e-05,0.002992670340747469,0.01107572727828529,1.1058524811623123e-05,2.52898026786062e-05,0.002626726280272899,0.009581460748928513,0.008382316235365977
0.27243909004098094,5afc2a9c279a0e72cb96fb88e116f994,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,,Cyanobium PCC-6307,0.004378126055350616,0.03148805614561302,0.005297114764641795,0.017441469828957206,0.00024090651152205246,0.0002670337104130046,0.0021483573127525626,0.008469987004615976,0.0033988979090577944,0.006131395684083646,0.004448487706892841,1.6234170625385855e-06,0.0022136347393964134,0.005064804763395533,0.0006185224366752917,0.16805467510221395,0.00017004855528414704,0.0021385076327708275,0.007217058011862108,0.0032503827484196115
0.270446092316747,dff73b641fd3a9c803336297085b3f2b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,Rhodocyclaceae,0.003230423087475042,0.0016202097019096663,0.23051147908593045,0.010800981155445479,5.794980919860835e-05,0.00015570114253976052,0.0061046300055339515,0.0013572540017170551,0.0012022656322205818,0.0010000830067847762,0.0025625235077012475,3.4593687631372875e-10,0.00403574253548778,0.0024834232014539033,0.0008379555405148023,0.00047715570587160937,1.128275220065624e-05,0.001830282517600048,0.0015126957652178722,0.0006540538160068725
0.25017528531283756,a42c9f8f85e528ad62538c00dd464c86,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera,,Rheinheimera,0.0032246230434751564,0.00011952825444790151,3.5135556028590536e-05,0.015070369889800024,8.040605130445967e-05,0.0011625737075350183,0.0013529647221443993,0.0043403826526252735,0.0011653616651030514,0.0017979787270929106,0.003670319249809143,2.360245627929487e-08,0.0003656343348002522,0.0011206426259897134,0.0013975982042860246,0.20221520098813556,2.324879905790362e-05,0.0032099034140647895,0.007423297372950077,0.0024000924517309907
0.2145675587523393,0bca2aa985f900160e83bd991d499732,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae,0.001482990774685884,0.00014268367940364077,0.001120410342126694,0.01486169514236083,8.420247173642446e-05,0.0013976443022974555,0.0013288288095579472,0.003477638893584781,0.0008742335940081704,0.001719277353030281,0.003323017815971371,7.300919814425505e-09,0.0016158983354080487,0.0014456190970536065,0.0017749479356152455,0.16592202555499797,4.6663475808764144e-05,0.004524545453367874,0.008318571797675036,0.001106656622729495
0.15803465231240474,ddc675e112b72bef9bd8bbdd384c64f6,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,,,Methylacidiphilaceae,0.006531541476772694,0.0003209383776034577,0.00021237112565237727,0.006650665594076658,4.713700249977964e-05,9.860713240499319e-05,0.006058901741806462,0.0027526313143195684,0.0018545213303587968,0.001428877435502537,0.001833149762634816,1.8383341096709478e-05,0.10973576913215312,0.008862503783357923,0.00010967231919058412,0.0003831665841309679,5.251826690819099e-05,0.0040867388483039006,0.002095043465558163,0.004901514278073022
0.14698673247366217,c67744b93c1aac731ad718596675f25e,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,Hyphomonas,0.004085041590124353,0.009239711609612662,0.000385186342332869,0.014172704180153001,0.00012650843879206608,0.00024629922837877315,0.005506239608779414,0.0015130322673470812,0.0013197070872087973,0.0009969177268763427,0.001296950158852485,1.1073973718386373e-07,0.025286405808793714,0.0052703609393186,0.0015665528938320265,0.06339557979378042,0.0001716580621190608,0.0028292676636059466,0.007436972245464754,0.002141526088552636
0.13215276347078272,ee23936eb7d1dd1c67d0bfa7f12f9454,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,,,Rubinisphaeraceae,0.00668525083496549,0.07336422581885933,0.00015167355342059994,0.018236178948165524,0.0003796208809760853,0.0002076067177901694,0.0009780477115478956,0.003166773469872025,0.0016481006296758178,0.0020621460933520656,0.001875029078038918,1.8929941376143486e-07,0.0003213949327581163,0.0017007184324060447,0.0010187350851673174,0.005705478520804867,0.00012882255481473903,0.003034322952114467,0.005847606619337988,0.005640841337301495
0.1263623045273783,d9f3ed1d204f6c5b1500ca3557dc99d2,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,,Lentimonas,0.007948140647089947,0.03360541132106702,0.03848269928938745,8.291985456985982e-05,3.3598599138861204e-05,5.61777452694971e-05,0.005862860767635693,0.0023918334321254087,0.001664759291416665,0.0017834489616230145,0.002031408898565535,0.0001338797256453301,0.0021137961635918413,0.0034611454130362347,0.004651760664758772,1.412100432154396e-05,1.4274440040685769e-05,0.0016799082320195803,0.010515398535931461,0.009834761540143915
0.11695968215585328,f697bfbdba885ba4e304a114e544e54f,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria,7.431375820919739e-05,0.0018252240639658492,7.71437615149563e-06,1.731480342984895e-06,0.0012188529179071638,2.0755152892851353e-07,0.00023928921754907688,0.00013688853608100667,5.6308618462296665e-05,8.48886790593439e-05,2.2426307593246845e-05,0.11259178141157496,7.297548285248375e-06,3.2856145247915448e-06,0.0005754458209766006,1.9407098699097412e-07,2.3443191785299988e-07,4.229258492815492e-05,3.9316241986684864e-07,7.091200338820604e-05
0.0880016265342405,39d4bad2879281ffb1125a3903d4effe,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria,0.0024133520307226273,0.0386587127247731,2.774568096930483e-05,0.00016852706654595442,0.0042232272203909845,0.0002618456087376751,0.0013280672889678091,0.001934377849661153,0.0015575954199079296,0.0015142804259576262,0.0018877213647137147,1.358097705634662e-06,0.0008788718351811827,0.0018782199690663486,0.01789817139349308,0.000490149158440601,0.0004445616663997067,0.0007647087503201947,0.007803034615872204,0.003867098366413657
0.08788450560422385,a736bf8aab84f65b0a7e2cb20966b40f,Bacteria,Planctomycetes,OM190,marine metagenome,marine metagenome,marine metagenome,marine metagenome,marine metagenome,0.004623328258572338,0.022663654729274233,8.662028210474712e-06,0.011377340903564586,8.827567172370626e-05,0.00021263077845588146,0.005129482797030634,0.0010018995024494244,0.002139922651109108,0.0008954880660913288,0.001448556549494667,1.0282206335983926e-07,0.017319178471128193,0.006620868063572825,0.00011160471220598054,0.003425442984968817,0.0001591767657683184,0.0025134861291079397,0.004417879909889495,0.003727523809542548
0.08329418755355106,1f42e44d0ce431bdae549c20dba107cb,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,Fluviicola,0.0009004968078337,0.00022229555288314499,9.82063259526651e-06,0.0001278709721345737,0.00034272517241922294,4.480809028502252e-05,0.0033010943905010712,0.00018731366945167225,0.0004104543449181182,0.0004470799716022292,0.0005099704254524561,8.575315190826466e-05,0.01352729388089537,0.00571034766102616,0.048812701894527584,6.744259610876713e-06,0.00022878544392204838,0.007446978204102027,0.00038965009880238886,0.0005820029286798619
0.08299640588786943,3064cab665172c8f33f645da13512b4f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae,0.009251117547412455,0.002718611353710689,0.011065245282839111,5.727089359230601e-05,3.145034837481853e-05,7.344654039591511e-05,0.0008667481589711541,0.0006616303237202304,0.0014724157260954955,0.0009805272570747566,0.0015930704125736554,8.803212673627876e-06,0.0005444963814815483,0.0021375148329367145,0.027880067891883267,1.1984399946320537e-05,7.283300192367929e-05,0.0008019208349521412,0.012373752553791932,0.010393498933519612
0.07992993352995116,6f5b8d10dbb3ae4d184fb6b3680d3f0f,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Methyloversatilis,,Methyloversatilis,0.0016003775546131064,0.000412743295449273,0.04823406062895717,0.0014455896817939175,2.4917736232321134e-06,0.005704166381289324,0.00044479738288560953,0.000429891783823173,0.00023208953782304087,0.00017346526378213603,0.00013794417649988974,0.0,0.01440354459678409,0.00123834987863834,2.991290814649671e-05,0.0006311198049817263,8.6005018968147e-06,0.0019403195783045837,0.0014786716202147272,0.0013817971804445173
0.07949018935366284,ab3c8788d244ad9a77a7a48ae03ad6d3,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,,LD29,0.005952623410430383,0.007166700942562499,0.0020025195219192213,0.010443269509526187,5.801128354600471e-05,0.00016129816858918402,0.004720835769903754,0.003305952599770218,0.00147808077502232,0.0016956719584752982,0.0014229216476256388,5.448843927435016e-06,0.018094176155004145,0.009058455662133051,0.0008053549278683041,0.0005716477634707283,0.00015568669813376256,0.00442915107219257,0.0033913627982222394,0.004571019845339901
0.07627795383169021,1bf6d6f0e139ee65d4c58ce19be2a1b9,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,,Clade I,0.0027894365053150695,0.0019339116439482725,0.000990593821978689,0.0011293747543108825,0.0011941632321597613,0.0005020152426559695,0.009547585670087129,0.00956519357952645,0.005908711960274424,0.005431307571985246,0.007611303848310033,0.0012247561727028494,0.003909084080478371,0.006212631027786077,0.00699270926696143,2.7277521416903977e-05,0.00021313948615321918,0.0016689976765734116,0.006235571004085988,0.0031901897649800367
0.07328404107909975,a3014556d1a0863de612649d85d02a6b,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,,Marinobacter,0.0016436204545496427,8.841019398591438e-05,5.138537703290844e-05,6.737033525522513e-05,7.177364962996457e-05,0.02072345610747584,0.003415958260497301,0.00016965265315915044,0.0005048537115952906,0.000635267876466702,0.0011442377388567189,2.5110571410084344e-09,0.0019402582400296466,0.004260248738665865,0.0059750576780886995,6.6226487950809755e-06,0.021739915938174575,0.003702738609237608,0.0036817375289441684,0.003461472827602317
0.07278305474289037,a86c17aba4bf3934fa4101f35035001e,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,Tenacibaculum,0.0005558417692734989,0.00016559624506295333,6.868349941875873e-06,6.634060060595468e-05,0.00019761827959871011,6.201314950297225e-05,0.002443758687590008,0.00028240532356980973,0.0006205390902474252,0.0004618634523925346,0.0003881665279806302,7.528617954169974e-08,0.05884158321535119,0.003910977408946296,0.0003368185267547697,7.921203650135701e-06,0.0007766645593504322,0.002244010671785087,0.0007323526961698501,0.0006816396989366985
0.07008962938102904,76990f500f42d2aa3b3ea384d8de9d55,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,Alcanivorax,0.0018947677416416033,0.0004002188497053136,3.0504773434761425e-05,9.305491766848842e-05,6.662676117034568e-05,0.015597554161224374,0.00845193149144532,0.00018387636511795285,0.0009773004272844552,0.000848716011709589,0.0016344141534750769,2.026933940893911e-06,0.0011695733258474872,0.006532302859046862,0.004495185154018537,3.585858173689793e-05,0.01576227222238375,0.006395310523169633,0.0028752477760822515,0.0026428863509254563
0.0697944711840076,e232e6f4a873496656969a88cbe7f732,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Persicirhabdus,,Persicirhabdus,0.005522943427525954,0.004379425839626305,0.0006508271328915503,0.00028713722912297913,0.004153496555935384,0.00010637781011843515,0.000751309405760334,0.0003026262891264138,0.0006773415043701125,0.0005202373928428654,0.0007002764401329919,1.6434032725895076e-05,0.00044192705226627947,0.0009136393972828424,0.03745566260384895,0.00012646974147237795,0.0001780381792157341,0.0022985784096091234,0.006786105307707938,0.0035256174324251235
0.0658958081267092,89ca3d682a62714cd0ae968734945e74,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,Clade II,0.0015636432563794968,0.0007597522697291602,0.003488286126454749,0.00046340869001754224,0.0010571075965636904,0.00012884490307737493,0.008970543486545676,0.0066600150956573154,0.005531694799215438,0.004675344750504949,0.006159261694295161,7.186920240906675e-05,0.009988248532846154,0.004845844600802409,0.0015273871311588343,1.3218405759988164e-05,3.767383133270872e-05,0.004199846867963801,0.004062248333399143,0.0016915685525965402
0.06536885124359908,c9869c8ee11c511d2adf4a495d12d553,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila,Aeromonas eucrenophila,0.002156429918739912,0.0004292782717568977,4.243370971521566e-05,0.012392132891071099,0.00014466625622139415,0.001200754023494378,0.003976901929571868,0.005498375862055972,0.0010932955717215336,0.002295114458710139,0.003028240942259166,3.642440517044146e-08,0.001924714896947491,0.0019145261301295507,0.00024633208097135596,0.02142763148949319,3.991806187029999e-05,0.0007836196054188349,0.005073253636398053,0.0017011950826475444
0.06456539238034165,8cb56911a2b9040f6b9db974003bf1a4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,,Thalassospira,0.002785833795385387,0.0036182379333550762,6.244272830996326e-05,0.00011921959146306564,9.036279035907837e-05,0.01201223732470716,0.0064114510309463925,0.00042012875115310627,0.000843624497327093,0.00098367755788195,0.002073875240931057,5.424574670135369e-09,0.0022512174438265595,0.007248653323828806,0.00040350061931735944,0.0005157361147366146,0.012292960678262061,0.00691223316062512,0.002686422625356245,0.002833571747994874
0.06393401346708409,2ff0e64636a0f6d6852c914c9d3d48a8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,,,AEGEAN-169 marine group,0.0046839055848525105,0.0002714947459063612,0.0035551067507825166,3.7975021377353014e-05,1.5278873441633675e-05,4.100724134713082e-05,0.006250082115412972,0.008686525773028449,0.0038367112474329427,0.004066030928473869,0.004870383113930406,0.0007669822745800468,0.009888088098368655,0.002770326954648309,0.0009104750586343867,1.3208411060986034e-05,1.7950583898072907e-05,0.001053097367586873,0.006750238664536018,0.005449144657784602
