Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,Importance,ANCOM
Class: Zixibacteria,Bacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,0.0,222.53521126760563,804.4776119402985,0.0,0.006290209041969733,NS
Class: WPS-2,Bacteria,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,396.969696969697,380.28169014084506,811.9402985074627,647.7477477477478,0.005805740297666751,NS
Class: metagenome,Bacteria,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,621.2121212121212,509.85915492957747,883.5820895522388,868.4684684684685,0.005318232913749907,NS
Order: Opitutales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,2125.757575757576,2383.8028169014083,1446.2686567164178,31287.837837837837,0.028238840034208214,NS
Order: Methylacidiphilales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,1742.4242424242425,18962.676056338027,2974.626865671642,94239.63963963964,0.018009666401307106,NS
Order: Chthoniobacterales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,4260.606060606061,50161.2676056338,5083.582089552238,117119.36936936936,0.006071605347114861,NS
Family: Opitutaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutales,Opitutales,Opitutales,739.3939393939394,1194.3661971830986,904.4776119402985,7334.684684684685,0.019898152730793983,NS
Genera: Lacunisphaera,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutaceae,Opitutaceae,136.36363636363637,84.50704225352112,234.32835820895522,2358.5585585585586,0.0069805151384211474,S
Genera: Cephaloticoccus,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutaceae,Opitutaceae,115.15151515151516,163.38028169014083,158.2089552238806,2499.5495495495497,0.005940600307461031,S
Species: Cephaloticoccus,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Cephaloticoccus,Cephaloticoccus,115.15151515151516,163.38028169014083,158.2089552238806,2499.5495495495497,0.00705113928027938,S
Family: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilales,Methylacidiphilales,Methylacidiphilales,1742.4242424242425,18962.676056338027,2974.626865671642,94239.63963963964,0.009515949400859064,NS
Species: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,Methylacidiphilaceae,1742.4242424242425,18962.676056338027,2974.626865671642,94239.63963963964,0.006500808855733517,NS
Genera: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,Methylacidiphilaceae,1742.4242424242425,18962.676056338027,2974.626865671642,94239.63963963964,0.006363902283624242,NS
Genera: Terrimicrobium,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobiaceae,Terrimicrobiaceae,1239.3939393939395,5152.816901408451,300.0,27783.783783783783,0.0050460723619371395,NS
Class: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,138000.0,213838.02816901408,65601.49253731343,379890.0900900901,0.02171917482604242,NS
ASV8800: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,15.151515151515152,9704.225352112677,56.71641791044776,184.23423423423424,0.01283207024205274,NS
Order: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,3533.3333333333335,14714.084507042253,8417.910447761195,3467.1171171171172,0.0075618781199304425,NS
Class: Alphaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,1508142.4242424243,504419.0140845071,761637.3134328359,805752.7027027027,0.02138286021645826,NS
Class: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,3533.3333333333335,14714.084507042253,8417.910447761195,3467.1171171171172,0.019751300759694664,NS
Class: Deltaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,97430.30303030302,146524.64788732395,128625.37313432836,96086.48648648648,0.01763113488197393,NS
Class: Gammaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,1378340.9090909092,603788.0281690141,818917.9104477612,1510522.0720720722,0.01582784379267656,NS
Family: Steroidobacterales,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacterales,Steroidobacterales,Steroidobacterales,283.3333333333333,1546.4788732394366,1043.2835820895523,436.93693693693695,0.00506382626650679,S
Family: Pseudomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadales,Pseudomonadales,359780.30303030304,88668.30985915494,214674.62686567163,143889.1891891892,0.006202851158560803,NS
Family: Litoricolaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,9.090909090909092,516.9014084507043,8.955223880597014,4998.648648648648,0.009193259508903626,S
Genera: Litoricola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricolaceae,Litoricolaceae,9.090909090909092,516.9014084507043,8.955223880597014,4998.648648648648,0.007560595558464588,S
Species: Litoricola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,Litoricola,9.090909090909092,516.9014084507043,8.955223880597014,4998.648648648648,0.006546575740239214,S
Species: OM182 clade,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,OM182 clade,OM182 clade,OM182 clade,1839.3939393939395,1386.619718309859,262.6865671641791,16589.18918918919,0.005997903434512544,NS
Genera: OM182 clade,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,OM182 clade,OM182 clade,OM182 clade,1839.3939393939395,1386.619718309859,262.6865671641791,16589.18918918919,0.00641717207790551,NS
Family: OM182 clade,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,OM182 clade,OM182 clade,OM182 clade,1839.3939393939395,1386.619718309859,262.6865671641791,16589.18918918919,0.008212628528627225,NS
Order: OM182 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,1839.3939393939395,1386.619718309859,262.6865671641791,16589.18918918919,0.01389405911428706,NS
Order: Ga0077536,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,1460.6060606060605,3861.9718309859154,1101.4925373134329,1263.063063063063,0.012489699831564402,NS
Order: Pseudomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,387215.1515151515,98241.54929577465,223634.32835820896,170150.0,0.00983405207832778,NS
Order: Steroidobacterales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,6936.363636363636,6634.507042253521,7916.417910447762,5040.990990990991,0.007884059176354137,NS
Order: Betaproteobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,367166.6666666667,117404.22535211267,211758.20895522388,390781.53153153154,0.006845927411299181,NS
Order: Xanthomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,14951.515151515152,11596.478873239437,18074.626865671642,14597.297297297297,0.005802515941403463,NS
Order: JG36-TzT-191,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,37.878787878787875,5434.507042253521,120.8955223880597,2080.6306306306305,0.005657127438007688,NS
Order: Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,29089.39393939394,22276.76056338028,25389.55223880597,65832.43243243243,0.005570101152271063,NS
Order: Alteromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,251886.36363636365,114227.4647887324,142608.9552238806,206550.45045045044,0.005211397337112975,NS
Order: SAR86 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,62.121212121212125,3719.0140845070423,89.55223880597015,51004.504504504504,0.005092853285250397,NS
ASV5213: Ga0077536,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,Ga0077536,Ga0077536,13.636363636363637,3601.4084507042253,74.6268656716418,309.009009009009,0.007144671208743845,NS
Species: Ga0077536,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,Ga0077536,Ga0077536,1460.6060606060605,3859.154929577465,1101.4925373134329,1132.882882882883,0.00588310389665927,NS
Genera: Ga0077536,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,Ga0077536,Ga0077536,1460.6060606060605,3859.154929577465,1101.4925373134329,1132.882882882883,0.00576062708740206,NS
Family: Ga0077536,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,Ga0077536,Ga0077536,1460.6060606060605,3859.154929577465,1101.4925373134329,1132.882882882883,0.008719137059870482,NS
Species: OM43 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,OM43 clade,OM43 clade,154.54545454545453,3023.943661971831,182.08955223880596,30728.828828828828,0.006447645984121514,NS
