Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,unknown plastic,Importance,ANCOM
Family: Rubritaleaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,0.0,2156.730769230769,127.77777777777777,3879.6992481203006,828.0701754385965,0.005231226482362842,NS
ASV2214: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,100.96153846153847,422.22222222222223,32215.78947368421,689.4736842105264,0.00795834773952623,S
Species: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,100.96153846153847,422.22222222222223,33011.278195488725,724.561403508772,0.017025375880697184,S
Genera: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,100.96153846153847,422.22222222222223,33011.278195488725,724.561403508772,0.01177460037488842,S
Family: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,100.96153846153847,422.22222222222223,33011.278195488725,724.561403508772,0.025507262781205745,S
Order: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,100.96153846153847,422.22222222222223,33011.278195488725,724.561403508772,0.03572779582082468,S
Order: Verrucomicrobiales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,350.0,16832.69230769231,17144.444444444445,10154.135338345865,3792.9824561403507,0.010876796921858363,NS
Order: Chthoniobacterales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,36133.653846153844,23238.88888888889,1807.5187969924812,10512.280701754386,0.005108027512666247,NS
Class: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,350.0,67555.76923076923,46188.88888888889,52604.51127819549,18954.385964912282,0.013912007946626602,NS
Class: Leptospirae,Bacteria,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,0.0,2311.5384615384614,211.11111111111111,771.4285714285714,2405.2631578947367,0.009652157888000244,NS
Class: V2072-189E03,Bacteria,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,0.0,3.8461538461538463,0.0,1.5037593984962405,8915.78947368421,0.006294242780995786,NS
Class: Spirochaetia,Bacteria,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,0.0,372.11538461538464,0.0,80.45112781954887,4082.4561403508774,0.005436167672051212,NS
Class: Alphaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,3375.0,294540.3846153846,280222.22222222225,118939.0977443609,184047.36842105264,0.05772841018828126,NS
Class: Gammaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,1059575.0,535626.9230769231,474466.6666666667,614707.5187969925,1117087.7192982456,0.010933239379867413,NS
Class: Deltaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,475.0,68749.03846153847,25538.88888888889,17347.36842105263,73298.24561403508,0.00955492757607128,NS
Family: R7C24,Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,R7C24,0.0,1257.6923076923076,0.0,133.08270676691728,359.64912280701753,0.005387427015555962,NS
Genera: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae,128450.0,9161.538461538461,2533.3333333333335,21225.563909774435,39801.754385964916,0.005020745742615608,NS
Species: Oceanobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oceanobacter,Oceanobacter,0.0,1229.8076923076924,0.0,418.0451127819549,64221.05263157895,0.0063217740074989785,S
Family: Saccharospirillaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.0,1229.8076923076924,0.0,418.0451127819549,64221.05263157895,0.0053098035565112755,S
Order: Alteromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,29700.0,8592.307692307691,4711.111111111111,62871.42857142857,31259.64912280702,0.013100883518786029,NS
Order: Pseudomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,656550.0,39648.07692307692,107850.0,58787.21804511278,272689.4736842105,0.009950121593652113,NS
Order: Enterobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,0.0,9025.0,8250.0,11139.097744360903,43815.78947368421,0.007356260703229137,NS
