OTUID,Species name
0002f15db0a619820472a18398197f5b,
3b65e5ce18231cc40aa92ba84c2d0e54,unidentified marine eubacterium
d0217e3c75a979cd1b13e912a39f3714,Maribacter aestuarii
320c38dc57faa9b5f686810d51121f54,Pseudoalteromonas sp. BS6_78
bf6d2861b04fb9d3fe7eb50d737cdb35,Francisellaceae bacterium
4675af44565a59147cf6cca8fcf201a7,SAR116 cluster bacterium REDSEA-S10_B10N8
08851e0934ece3b453477b9cf1f98af3,Flavobacterium sp. B202
63ffc596781727668a90d6da135a33b4,unidentified archaeon
056187ef37d059aaf9b50168420fbd1f,Radiocystis sp. JJ30-12
d0346d8070829bccf1487305da7dfc6d,hydrothermal vent metagenome
44cb7929ff5b28f0436db829c979328a,marine bacterium CON-A2
311a0503e17a3ec987f1f3f455fb461b,Hydra vulgaris
83464cac670dd2021aad507198382a69,Coraliomargarita sp. IMCC15062
dd8657f40746f75e46726006af4234a8,Pseudomonas pertucinogena
ddaf18da4ab1479f478c6d7be721c03c,Lewinella agarilytica
2e7f1b2301cf46c7f33864706ca74b5f,Ahrensia sp. R2A130
a970b4473270227fc398ce43c73c5f17,Lishizhenia tianjinensis
b042b425f938997bdd449bf0edcec6f4,Saccharopolyspora rectivirgula
cde89402ba6b00ac15d1c3175348fff7,Fluviicola sp. YS 1.2.4
7ab457184ac51c2836808ad396be9bdc,Emticicia paludis
669c8a33176a95af8d25a443dbab971f,Sphingobacterium spiritivorum
3cc5f423163462a6ad1810df2ffca4d5,Nitrospira sp. Ecomares 2.1
e5e0a0e60467dc3347a71b2a46fd896e,Roseivivax halotolerans
e1437ee88e8a34567a2f784b74e79d62,Marinilabilia nitratireducens
a517f2e4ef4f0f8bdc5bd6217046555f,Corynebacterium kroppenstedtii
55357b7fa07da6a981c32fea228aeb2b,actinobacterium SCGC AAA023-D18
72b4f42954296bb954dc2177edfb0de8,Litorimonas taeanensis
915f094c4e716b65c0fbb3b50154b9d8,Tropicibacter phthalicicus
289a6cadbce19316f21ed2f7133f940d,Algoriphagus sp. am2
c9869c8ee11c511d2adf4a495d12d553,Aeromonas eucrenophila
5facac583975da2d48403fddcf1c0826,Roseovarius antarcticus
f201717919d61b9f9f36063a4299711e,Bacteroidetes bacterium RBE2CD-54
47f280a62d3cbe2edbfada40370a17d4,Caedibacter caryophilus
0cf5274171207f8bdc25e8359f31ad45,Rhizobium rhizogenes
437c3825020566bfed68baa731eab1b4,Fusibacter paucivorans
d505757e7d67f6f3b19bec495c8a22a6,bacterium WHC3-3
cdc371d5358fd3658e163d920516d65a,Bacteriodetes bacterium enrichment culture clone AP-FeEnrich3
5dc4a87514f65e55bd373c1283e95fc4,Prevotella bivia
