Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,unknown plastic,Importance,ANCOM
Order: Chthoniobacterales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,0.7408653846153844,1.8361111111111112,0.10037593984962408,0.5903508771929824,0.03543668,S
Order: Verrucomicrobiales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,0.3370192307692309,0.9361111111111112,0.12180451127819551,0.025438596491228073,0.008628279,S
Order: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.0,0.02403846153846154,0.03333333333333333,1.8428571428571427,0.042105263157894736,0.00581108,S
Family: Chthoniobacteraceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,0.0,0.7408653846153844,1.775,0.0,0.5894736842105264,0.009887817,S
Genera: Chthoniobacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacteraceae,Chthoniobacteraceae,0.0,0.7370192307692307,1.775,0.0,0.5868421052631579,0.011045921,S
Species: Chthoniobacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,0.0,0.7370192307692307,1.775,0.0,0.5868421052631579,0.009509324,S
Class: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,0.0,1.4586538461538463,2.8055555555555554,2.0661654135338345,0.6885964912280699,0.031763341,NS
Class: Alphaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,0.1125,9.069711538461538,18.599999999999998,3.5875939849624072,4.544736842105262,0.083991649,NS
Class: Gammaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,88.0875,21.82067307692308,31.677777777777766,26.07894736842104,42.83947368421052,0.059123795,NS
Class: Deltaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,0.07500000000000001,1.9874999999999998,1.6472222222222217,0.1669172932330828,1.678070175438596,0.07172560900000001,NS
Family: Xanthomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales,Xanthomonadales,Xanthomonadales,0.0125,0.6076923076923078,0.09444444444444443,0.5887218045112775,0.8350877192982454,0.016904607,NS
Family: Rhodanobacteraceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales,Xanthomonadales,Xanthomonadales,0.0,0.31298076923076923,0.0,0.0582706766917293,0.25438596491228077,0.009439769,S
ASV3841: Xanthomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,0.0,0.12596153846153846,0.0,0.042481203007518786,0.5140350877192984,0.0051841429999999996,S
Species: Xanthomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,0.0,0.13798076923076924,0.0,0.042481203007518786,0.5140350877192984,0.008059373,S
Genera: Arenimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,0.0,0.39278846153846164,0.07777777777777778,0.1725563909774437,0.2973684210526316,0.011038481000000001,NS
Genera: Stenotrophomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,0.0,0.01346153846153846,0.01666666666666667,0.36503759398496244,0.0,0.007080603,S
Genera: Xanthomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,0.0,0.13798076923076924,0.0,0.042481203007518786,0.5140350877192984,0.009845017,S
Species: Stenotrophomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas,0.0,0.01346153846153846,0.01666666666666667,0.36503759398496244,0.0,0.005261826,S
ASV3863: Arenimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas,0.0,0.11730769230769232,0.0,0.04097744360902255,0.2166666666666667,0.010890933,NS
Species: Arenimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas,0.0,0.39278846153846164,0.07777777777777778,0.1725563909774437,0.2973684210526316,0.011571423999999999,NS
Genera: Aquimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae,0.0,0.12596153846153849,0.0,0.01578947368421053,0.1026315789473684,0.005452441,NS
Species: Aquimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas,Aquimonas,0.0,0.12596153846153849,0.0,0.01578947368421053,0.1026315789473684,0.005433505,NS
