,PlasticTypeGeneral
Gimesiaceae,0.007541088
Clade I,0.028929538
Thalassospiraceae,0.008610572
Arenicellaceae,0.016716769
Alphaproteobacteria,0.027852367
Hyphomonadaceae,0.016329716
Oleiphilaceae,0.008423185
Rhodobacteraceae,0.017712192
Rubinisphaeraceae,0.004878413
Clade II,0.01635547
Cellvibrionaceae,0.008177856
Rhizobiaceae,0.013902717
Alcanivoracaceae,0.009438391
Flavobacteriaceae,0.037519282
Sphingomonadaceae,0.019317397
Microtrichaceae,0.010690899
Thiotrichaceae,0.017877253
Gammaproteobacteria,0.016439968
Phycisphaeraceae,0.005451176
OM190,0.001922263
Pirellulaceae,0.015568167
Algiphilaceae,0.002126988
Crocinitomicaceae,0.015408561
SAR116 clade,0.015733254
Puniceicoccaceae,0.019409163
Hyphomicrobiaceae,0.013349103
Devosiaceae,0.002482056
Marinobacteraceae,0.005358528
Rhodocyclaceae,0.0015617
Colwelliaceae,0.003143509
Methyloligellaceae,0.006741787
Rubritaleaceae,0.015175962
Rhodobiaceae,0.001476581
Cryomorphaceae,0.010297143
DEV007,0.016393953
Sva1033,0.015901344
Kordiimonadaceae,0.001807247
Spongiibacteraceae,0.003059197
Rickettsiales,0.000483319
Amoebophilaceae,0.001135155
Burkholderiaceae,0.006982799
Solibacteraceae (Subgroup 3),0.001593484
Saccharospirillaceae,0.009612653
Kosmotogaceae,0.002619728
Woeseiaceae,0.011435491
Nitrosopumilaceae,0.003309532
Saprospiraceae,0.016509011
Spirosomaceae,0.001572979
Thalassobaculaceae,0.001400782
Anaerolineaceae,0.002809153
AEGEAN-169 marine group,0.014420385
Alteromonadaceae,0.006824917
Clade IV,0.018477713
B2M28,0.021864363
Family XI,0.002214774
SS1-B-06-26,0.003374442
UBA10353 marine group,0.002417298
Cyanobiaceae,0.008417261
Aminicenantales,0.002410819
Shewanellaceae,0.002886871
Clostridiaceae 2,0.002250737
Synergistaceae,0.002288483
Clostridiaceae 3,0.002171133
Nitrosomonadaceae,0.009134715
Parvibaculaceae,0.007046999
Proteobacteria,0.009920238
Marinilabiliaceae,0.00187236
Vibrionaceae,0.009533678
Cyclobacteriaceae,0.009956614
Phormidesmiaceae,0.007103676
Unknown Family,0.005567795
Micavibrionaceae,0.004199046
Sulfurovaceae,0.014632595
Moraxellaceae,0.00978718
Clostridiales,0.001625957
Petrotogaceae,0.002296491
Marine Group II,0.000270489
Dadabacteriales,0.003831369
Methylophilaceae,0.01777346
Marinimicrobia (SAR406 clade),0.007037253
Flavobacteriales,0.000877778
marine metagenome,0.003368964
Pseudoalteromonadaceae,0.00594128
Rhizobiales Incertae Sedis,0.002710251
Peptostreptococcaceae,0.001580455
unidentified archaeon,0.00047494
Stappiaceae,0.001511093
Desulfuromonadaceae,0.000893907
Nannocystaceae,0.002020994
Halieaceae,0.006827623
Thiohalorhabdaceae,0.000300833
Desulfobulbaceae,0.004411002
Halomonadaceae,0.010506673
Actinomarinaceae,0.005077089
Cycloclasticaceae,0.000372135
Eubacteriaceae,0.001035438
Xenococcaceae,0.006304888
Rickettsiaceae,0.000444587
Beijerinckiaceae,0.000897857
Pseudohongiellaceae,0.004818687
Nostocales,6.64E-05
Kangiellaceae,0.000487745
Caldilineaceae,0.003054023
NS11-12 marine group,0.00407403
Entotheonellaceae,0.003343626
Nitrospiraceae,0.006624208
Nitrincolaceae,0.00277618
Simkaniaceae,0.000340276
pItb-vmat-80,0.00331969
BD2-11 terrestrial group,0.002917131
Sandaracinaceae,0.001889224
Caulobacteraceae,0.001999312
Intrasporangiaceae,0.000203376
Anaerolineae,0.003024371
Ilumatobacteraceae,0.008897335
unidentified marine eubacterium,0.00184614
Prolixibacteraceae,0.00093685
Isosphaeraceae,0.000741972
Thermoanaerobaculaceae,0.002918126
Clostridiales Incertae Sedis,0.000945245
SG8-4,0.00079609
Nostocaceae,0.005278698
SAR86 clade,0.005601206
Methylomonaceae,0.013148064
Thioalkalispiraceae,0.000506319
SAR202 clade,0.00071709
Pseudomonadaceae,0.002603382
Candidatus Kaiserbacteria,0.001345455
Acidimicrobiia,0.001237616
Ectothiorhodospiraceae,0.009088468
Nitrosococcaceae,0.002807423
hydrothermal vent metagenome,0.000960886
Synechococcales Incertae Sedis,0.003819521
Desulfobacteraceae,0.002166071
Bacillaceae,0.001010864
Balneolaceae,0.001836125
BD7-11,0.000349137
Chitinophagales,0.002060948
Lachnospiraceae,0.001337024
OM182 clade,0.002550758
Promicromonosporaceae,0.000316406
Porticoccaceae,0.004277964
Microtrichales,0.000395514
