OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Species name
98864ed2fa48a026732b0e1c273e638d,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,,Bacteriovoracaceae
7fe697149013edf788d22b74af85133a,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,,Roseibacillus
743855d7b87a9ff92221d54d4b448bb1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,,Clade I
5d018efd02f06665dcc7bc727fabebc8,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,,,Gemmataceae
7135387978ea8679744c58c1d5f488bb,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,,,Spongiibacteraceae
07a21ad29ddceda14322888a2f9df335,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
fb4e082e12702cb61eac1a314abf4004,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,marine metagenome,marine metagenome
a69b3ec2e4c570ba8aaac098a958e6c9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,,Afifella
2453bac96f2e86f69bb1f2a15e3b398a,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula,,Haloferula
d03692d8d7ca63c0c9f005505ce9d278,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,Burkholderiaceae
f9688535aa8c46ca759ee858249acf57,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,,Ralstonia
d76b6d69f319f50b9324806d21c24c07,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,Algoriphagus
6e237d5fc6de7febed99fc0ccf9ce237,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,,Pirellula
a8fbabd7cb7008fa23b4bbb023ab5a79,Bacteria,Proteobacteria,,,,,,Proteobacteria
2debb7d3abc58cd3843a5950c310779e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
c6fd2c3f2032886b9adc7421963d6d28,Bacteria,Acidobacteria,,,,,,Acidobacteria
306f13139129eba475186a04d373b939,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,,Emticicia
545f8f95e8d1e05a39efda51b2cc2cb9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
31474016703682176913f2143d5eaf81,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Methylomarinum,,Methylomarinum
f3038daa370b26fd9677a1805821565b,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,,,AKYH767
64646f3758ba67dd682b2146fee23658,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella nigricans,Lewinella nigricans
43de121c5b76014e0dcff380e356b81c,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,Sphingobium
4765d1919c53bda5140af3cb2b50128c,Bacteria,Planctomycetes,Brocadiae,Brocadiales,Scalinduaceae,Candidatus Scalindua,,Candidatus Scalindua
34d59638a154ea9793530fc477804df0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
79a304f9b92b663c9c0ac180cf70a2b5,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,,NB1-j
a30f480c22e0a7610c6657374060045a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Pelagibius,,Pelagibius
c530c34c368fe75103545263b3b7504d,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Pelagicoccus,,Pelagicoccus
6da0fb2ff243e6ed8c9d4ce2b5f2043f,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,,Rickettsiaceae
2822e32ad2c4d2fc9fb2d048c3d5a69b,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
38c27ceaed634984c1225a82648cf571,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonas
80bc3f341a537f59adc2a2593e5f118d,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,,Subgroup 10
43828e8332fd9db14b39e6aed7e5e210,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,,Candidatus Actinomarina
2cea0ed3b6c9b650492371700c044b07,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,,,Oligoflexaceae
82ed2ff9e72279cf740deb173e8e97b8,Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,Tenderiaceae,Candidatus Tenderia,,Candidatus Tenderia
0f31e530ad338f17806401c743969959,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),PAUC26f,,PAUC26f
e3eabf942da79c4a106980feb08eb2a6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
410189cbbe52e0f04e116b05f89ae5cb,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum dicentrarchi,Tenacibaculum dicentrarchi
d13ef7818c89584ead10559e232e2408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,,Filomicrobium
7793b9235c11b1f5b7ceab4b3f9e7c4c,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,bacterium enrichment culture clone 25(2013),,bacterium enrichment culture clone 25(2013)
bd62d4cac51d401765e321791089c9cc,Bacteria,Chloroflexi,KD4-96,,,,,KD4-96
27e4fc9b5d7d6af85e7400c2e429fdfb,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,,Litorimonas
de87bb58ea16360b58ca1d1281057f91,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula,Haloferula helveola,Haloferula helveola
a30e69dd5c44be0ba14e7c52f1d52b50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
4b3872ef9319c13b0265f9466bc02807,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
20e2f1ef0313171fed670920d91c0fb4,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,,Caldilineaceae
60f369e9eaa0597914f6d282598ff2e8,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,Aquabacterium
8b078784e4846a2082b5333ea0f8da48,Bacteria,Proteobacteria,,,,,,Proteobacteria
0d410385b940330b20205b60313fb8f9,Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma,,Haloplasma
171fb7013abb67305f2ca8cc2b5bdf66,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Pelagibius,,Pelagibius
f98de2568eb0cdef665de29e117e15bd,Bacteria,Proteobacteria,Alphaproteobacteria,unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton,,unidentified marine bacterioplankton
93eeba53da2adc41ca5fc3b5d986598b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,,Parabacteroides
224a58fc275bef499451f8cf479a6d72,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,Burkholderiaceae
